Category Name,Category ID
"10 Years of Netflix Series",81704918
"2-Hour Movies",81396426
"2016 Netflix Oscar Nominees",81254230
"2017 Netflix Original Emmy Winners",2233953
"2017 Netflix Originals Emmy Nominees",2775958
"2017 Netflix Oscar Nominees",81254207
"2018 Netflix Emmy Winners",2870589
"2018 Netflix Golden Globe Nominees",2311413
"2018 Netflix Oscar Nominees",81254137
"2019 Netflix Emmy Nominees",3271845
"2019 Netflix Emmy Winners",3281705
"2019 Netflix Oscar Nominees",2693435
"2019 Netflix Oscar Winners",3050307
"2020 Netflix Emmy Winners",81307148
"2020 Netflix Golden Globe Nominees",81238239
"2020 Netflix Oscar Nominees",81240434
"2020 Netflix Oscar Nominees",51083
"2021 Netflix Daytime Emmy Nominees",81488807
"2021 Netflix Emmy Winners",81513374
"2021 Netflix Golden Globe Nominees",81424436
"2021 Netflix Golden Globe Winners",81428589
"2022 Netflix Emmy Winners",81639853
"2022: Year in Review",81672450
"2023 Netflix Golden Globe Nominees",81671543
"2023 Netflix Oscars Contenders",81671059
"2025 Baeksang Arts Awards Nominees",82054200
"20th-Century Period Pieces",12739
"30-Minute Laughs",81602050
"90-Minute Movies",81466194
"90-Minute Rom-Coms",81466228
"90-Minute Thrillers",81466222
"A Tale of Two Distant Ages",1461008
"ABC",108420
"Action & Adventure",1365
"Action Anime",2653
"Action Comedies",43040
"Action Sci-Fi & Fantasy",1568
"Action Thrillers",43048
"Action with a Side of Romance",81647318
"Adam Sandler Comedies",9317
"Adult Animated Movies & Shows",11881
"Adventure Movies",7442
"African",3761
"African-American Comedies",4906
"African-American Crime Action & Adventure",3053
"African-American Crime Comedies",177
"African-American Crime Dramas",3959
"African-American Independent Comedies",307
"African-American Independent Crime Dramas",2625
"African-American Military Movies",2081
"African-American Movies",575
"African-American Political Movies",1564
"African-American Romance",3967
"African-American Showbiz Comedies",2576
"African-American Showbiz Dramas",1123
"African-American Sports Movies",1614
"African-American Thrillers",2470
"Alien Movies",3327
"All Laughs, No Laugh Track",81647534
"All the Performers: Their Specials, Shows and More",81599617
"American Folk & Bluegrass",760
"And You Watched It Day and Night",81587950
"Animal Tales",5507
"Animated Movies and TV Shows",4698
"Anime",7424
"Anime Comedies",9302
"Anime Dramas",452
"Anime Dubbed in English",81594538
"Anime Fantasy",11146
"Anime Features",3063
"Anime for Gamers",2797624
"Anime Horror",10695
"Anime Released in 2020",81250121
"Anime Released in 2022",81580601
"Anime Released in 2023",81672891
"Anime Sci-Fi",2729
"Anime Series",6721
"Annie Award Winners & Nominees",81494969
"Apocalyptic Action & Adventure",20424
"Arabic Movies & TV Shows",107456
"Argentinian Movies & TV",100370
"Art House Movies",29764
"Asian & Pacific Islander Hollywood Stars",81452637
"Asian Action Movies",77232
"Asian Americans & Pacific Islanders Behind the Camera - Netflix",81453981
"Asian Comedy Icons",81452635
"Asian LGBTQ Films",2919333
"Assassination Asian Action Films",77796
"Australian Comedies",2030
"Australian Crime Dramas",4767
"Australian Crime Movies",3936
"Australian Crime Thrillers",4816
"Australian Movies",5230
"Australian Movies & TV",100371
"Auteur Movies",801360
"Award-winning Auteur Cinema",1474467
"Award-winning Directors",2787344
"Award-winning Documentaries",93108
"Award-winning Dramas about Friendship",1494606
"Award-Winning Movies",89844
"Award-winning Offbeat TV Dramas",81300907
"Award-Winning TV Shows",89814
"Award-winning TV War & Politics",713151
